experiment,runs,f1_macro_mean,f1_macro_sd,f1_macro_min,f1_macro_max,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_min,balanced_accuracy_max,errors_mean,errors_sd,errors_min,errors_max,f1_Allow_mean,f1_Allow_sd,f1_Allow_min,f1_Allow_max,f1_Deny_mean,f1_Deny_sd,f1_Deny_min,f1_Deny_max,f1_Drop_mean,f1_Drop_sd,f1_Drop_min,f1_Drop_max,test_rows_median
application_category_heldout,5,0.5560883654367155,0.2653673648670477,0.253210765866063,0.9441184463488208,0.6476661566929597,0.1775805981460195,0.47195417817069973,0.9190453164402772,46828.6,98470.6441296085,113.0,222933.0,0.8492795811389635,0.323178673882204,0.2712488272732919,0.9995669419587253,0.2899105164215,0.3895542336439745,0.017727639000805803,0.8886699507389163,0.23871573233862967,0.4334065066816985,0.0,1.0,257591.0
destination_service_heldout,5,0.7920049591312999,0.12257199739561826,0.7051030555187628,1.0,0.8144818315584146,0.1171234400716944,0.6907206490525543,1.0,5287.4,3467.3592689538245,0.0,8904.0,0.9906607032335681,0.009023429836072657,0.9764430734063887,1.0,0.38535417416033135,0.362466433609585,0.12378251756873382,1.0,1.0,0.0,1.0,1.0,338279.0
zone_pair_heldout,5,0.8872930654441668,0.13550868931829804,0.6734616725455784,0.9958497780838895,0.9096088590441533,0.07540336850264409,0.8164293390181688,0.9941603054884802,3061.0,5029.363130655809,7.0,11795.0,0.9937523212870915,0.008002352971770887,0.9807459287939695,0.9999906440919,0.50665198815198,0.4778563009671277,0.0,0.9882583170254403,0.9710974089620368,0.041846102983393654,0.9074991740997688,1.0,263531.0
country_pair_heldout,5,0.9079665935574759,0.11388572402554452,0.7139802043824952,0.9918910278701105,0.9715681270041813,0.03858916068476558,0.9045138888888888,0.9997410414554734,329.2,498.60926585854776,24.0,1212.0,0.9986374164749124,0.0013210576026815044,0.9966832504145937,0.999966862362824,0.7252664358587535,0.3418071790511592,0.14305949008498584,0.9776490066225165,0.9999959283387622,9.104511309054373e-06,0.999979641693811,1.0,163234.0
