key_id,fields,repeat,seed,frequency_preserved_exactly,cardinality_preserved_exactly,rows,distinct_contexts,ucc_distinctness_ratio,duplicate_excess_rows,singleton_contexts,singleton_context_share,singleton_rows,singleton_row_share,conflicted_contexts,conflicted_rows,bayes_error,bayes_error_rate,agreement_rate,context_size_median,context_size_p90,context_size_p95,context_size_max
K2,Application | Bytes | Destination Country | Source Port,3,42,True,True,1048576,840185,0.8012628555297852,208391,756281,0.9001362795098699,756281,0.7212457656860352,13,141,19,1.811981201171875e-05,0.9999818801879883,1.0,1.0,2.0,4664
K3,Bytes | Destination Port | Outbound Interface | Source Port,3,42,True,True,1048576,936996,0.8935890197753906,111580,887179,0.9468332842402742,887179,0.8460798263549805,20,282,30,2.86102294921875e-05,0.9999713897705078,1.0,1.0,2.0,2296
K4,Bytes | Outbound Interface | Source Port | Subcategory of app,3,42,True,True,1048576,834715,0.796046257019043,213861,748125,0.8962639942974548,748125,0.7134675979614258,23,149,36,3.4332275390625e-05,0.9999656677246094,1.0,2.0,2.0,4679
K5,Bytes | Category of app | Outbound Interface | Source Port,3,42,True,True,1048576,834585,0.7959222793579102,213991,747913,0.8961495833258446,747913,0.7132654190063477,38,221,56,5.340576171875e-05,0.9999465942382812,1.0,2.0,2.0,4679
K6,Bytes | Outbound Interface | Source Port | Technology of app,3,42,True,True,1048576,834218,0.7955722808837891,214358,747365,0.8958869264388925,747365,0.712742805480957,27,175,41,3.910064697265625e-05,0.9999608993530273,1.0,2.0,2.0,4679
K7,Bytes | Outbound Interface | Risk of app | Source Port,3,42,True,True,1048576,835001,0.7963190078735352,213575,748554,0.8964707826697214,748554,0.7138767242431641,24,152,37,3.528594970703125e-05,0.999964714050293,1.0,2.0,2.0,4679
K1,Application | Bytes | Outbound Interface | Source Port,4,42,True,True,1048576,835349,0.7966508865356445,213227,749089,0.8967377706802785,749089,0.7143869400024414,14,148,31,2.956390380859375e-05,0.9999704360961914,1.0,2.0,2.0,4835
K2,Application | Bytes | Destination Country | Source Port,4,42,True,True,1048576,840366,0.8014354705810547,208210,756532,0.9002410854318238,756532,0.7214851379394531,11,116,12,1.1444091796875e-05,0.9999885559082031,1.0,1.0,2.0,4812
K3,Bytes | Destination Port | Outbound Interface | Source Port,4,42,True,True,1048576,936973,0.8935670852661133,111603,887046,0.9467145798224709,887046,0.8459529876708984,13,135,23,2.193450927734375e-05,0.9999780654907227,1.0,1.0,2.0,2259
K4,Bytes | Outbound Interface | Source Port | Subcategory of app,4,42,True,True,1048576,834936,0.7962570190429688,213640,748468,0.8964375712629471,748468,0.7137947082519531,15,151,32,3.0517578125e-05,0.999969482421875,1.0,2.0,2.0,4835
