subset_size,fields,rows,distinct_contexts,ucc_distinctness_ratio,duplicate_excess_rows,singleton_contexts,singleton_context_share,singleton_rows,singleton_row_share,conflicted_contexts,conflicted_rows,bayes_error,bayes_error_rate,agreement_rate,context_size_median,context_size_p90,context_size_p95,context_size_max,subsets_checked_at_size,elapsed_seconds,g3_error_rate
1,Application,1048576,194,0.0001850128173828125,1048382,29,0.14948453608247422,29,2.765655517578125e-05,18,483449,13599,0.012969017028808594,0.9870309829711914,38.0,1981.8000000000034,14911.849999999931,223784,17,0.6974554000007629,0.012969017028808594
2,Application | Outbound Interface,1048576,236,0.000225067138671875,1048340,35,0.1483050847457627,35,3.337860107421875e-05,17,244502,6166,0.0058803558349609375,0.9941196441650391,37.5,3076.0,12603.25,222356,136,14.758203700002923,0.0058803558349609375
3,Outbound Interface | Source Port | Destination Port,1048576,375436,0.3580436706542969,673140,210308,0.5601700422974888,210308,0.20056533813476562,1420,5370,1567,0.0014944076538085938,0.9985055923461914,1.0,6.0,8.0,31872,680,102.20913680000012,0.0014944076538085938
4,Application | Outbound Interface | Source Port | Category,1048576,335501,0.3199586868286133,713075,172724,0.5148240988849512,172724,0.16472244262695312,172,1451,301,0.00028705596923828125,0.9997129440307617,1.0,7.0,9.0,31872,2380,487.04713339999944,0.00028705596923828125
