target,semantic_range,rows,within_target_share,within_range_target_share
Allow,dynamic_private_49152_65535,548538,0.6817642862291912,0.8088288203271069
Allow,registered_1024_49151,209917,0.2609006370978367,0.6677386519069886
Allow,well_known_0_1023,46131,0.057335076672972184,0.8235031596986683
Deny,dynamic_private_49152_65535,9697,0.702223187776088,0.014298395135272226
Deny,registered_1024_49151,4112,0.29777681222391195,0.013080128510990234
Drop,dynamic_private_49152_65535,119953,0.5211246801430179,0.17687278453762084
Drop,registered_1024_49151,100341,0.4359221656001147,0.31918121958202117
Drop,well_known_0_1023,9887,0.042953154256867423,0.17649684030133173
