target,rows,distinct_source_ports,singleton_source_ports,singleton_source_port_share,top_1_port_row_share,top_5_port_row_share,top_10_port_row_share,top_100_port_row_share,distinct_target_labels_per_port,source_ports,source_port_share,row_share
Allow,804586,51473.0,11629.0,0.2259242709770171,0.05370588103695565,0.06070451138846562,0.06166773968227138,0.07227070816544161,,,,
Deny,13809,10617.0,8388.0,0.7900536874823396,0.002606995437757984,0.012093562169599536,0.021362879281627924,0.05648490115142298,,,,
Drop,230181,46244.0,14416.0,0.31173773894991785,0.03399933096128699,0.09385222933256872,0.12146093726241523,0.24937766366468128,,,,
,59538,,,,,,,,1.0,17439.0,0.2993408630574342,0.05677986145019531
,681722,,,,,,,,2.0,31562.0,0.5417625047203818,0.6501407623291016
,307316,,,,,,,,3.0,9257.0,0.1588966322221841,0.2930793762207031
