context,model,probability_state,threshold,test_rows,retained_rows,queue_rows,retained_coverage,queue_rate,retained_accuracy,retained_macro_f1,selective_risk,queue_accuracy,all_errors,retained_errors,captured_errors,error_capture_rate,queue_error_rate
application_category,lightgbm_ordinal,raw,0.5,197261,197261,0,1.0,0.0,0.9712867723472962,0.6725480129323816,0.028713227652703788,,5664,5664,0,0.0,
application_category,lightgbm_ordinal,raw,0.7,197261,197234,27,0.9998631255037742,0.0001368744962258125,0.9713132624192583,0.6712361584405757,0.028686737580741695,0.7777777777777778,5664,5658,6,0.001059322033898305,0.2222222222222222
application_category,lightgbm_ordinal,raw,0.8,197261,197214,47,0.9997617369880514,0.00023826301194863658,0.9713103532203596,0.6712356190884293,0.028689646779640365,0.8723404255319149,5664,5658,6,0.001059322033898305,0.1276595744680851
application_category,lightgbm_ordinal,raw,0.9,197261,196560,701,0.996446332523915,0.003553667476084984,0.9742368742368742,0.6713612304035369,0.025763125763125783,0.14407988587731813,5664,5064,600,0.1059322033898305,0.8559201141226819
application_category,lightgbm_ordinal,raw,0.95,197261,195323,1938,0.9901754528264584,0.009824547173541653,0.9740737137971462,0.671331059985714,0.025926286202853754,0.6904024767801857,5664,5064,600,0.1059322033898305,0.30959752321981426
application_category,lightgbm_ordinal,raw,0.99,197261,195127,2134,0.9891818453723746,0.010818154627625328,0.9749906471170059,0.671831551834107,0.025009352882994107,0.6326148078725399,5664,4880,784,0.1384180790960452,0.3673851921274602
application_category,lightgbm_ordinal,raw,0.999,197261,162304,34957,0.822788082793862,0.17721191720613805,0.9797109128548895,0.675942909896969,0.020289087145110463,0.9321738135423521,5664,3293,2371,0.4186087570621469,0.06782618645764797
application_category,lightgbm_ordinal,raw,0.9999,197261,150753,46508,0.7642311455381449,0.2357688544618551,0.9998540659224029,0.9475937391432391,0.00014593407759710963,0.878687537627935,5664,22,5642,0.9961158192090396,0.12131246237206503
application_category,lightgbm_ordinal,temperature_scaled,0.5,197261,197261,0,1.0,0.0,0.9712867723472962,0.6725480129323816,0.028713227652703788,,5664,5664,0,0.0,
application_category,lightgbm_ordinal,temperature_scaled,0.7,197261,197214,47,0.9997617369880514,0.00023826301194863658,0.9713103532203596,0.6712356190884293,0.028689646779640365,0.8723404255319149,5664,5658,6,0.001059322033898305,0.1276595744680851
application_category,lightgbm_ordinal,temperature_scaled,0.8,197261,196559,702,0.9964412630981289,0.003558736901871125,0.974236743166174,0.6713612061750657,0.025763256833825965,0.1452991452991453,5664,5064,600,0.1059322033898305,0.8547008547008547
application_category,lightgbm_ordinal,temperature_scaled,0.9,197261,195314,1947,0.9901298279943831,0.009870172005616924,0.9740725191230531,0.6713308390005315,0.02592748087694685,0.6918335901386748,5664,5064,600,0.1059322033898305,0.3081664098613251
application_category,lightgbm_ordinal,temperature_scaled,0.95,197261,195127,2134,0.9891818453723746,0.010818154627625328,0.9749906471170059,0.671831551834107,0.025009352882994107,0.6326148078725399,5664,4880,784,0.1384180790960452,0.3673851921274602
application_category,lightgbm_ordinal,temperature_scaled,0.99,197261,159169,38092,0.8068954329543092,0.19310456704569073,0.9819311549359486,0.6781154702755848,0.018068845064051375,0.9268087787461934,5664,2876,2788,0.4922316384180791,0.07319122125380657
application_category,lightgbm_ordinal,temperature_scaled,0.999,197261,150146,47115,0.7611540040859572,0.23884599591404282,0.9999933398159125,0.9971498420177584,6.6601840874591645e-06,0.8798047330998621,5664,1,5663,0.9998234463276836,0.12019526690013796
application_category,lightgbm_ordinal,temperature_scaled,0.9999,197261,147263,49998,0.7465388495445121,0.2534611504554879,1.0,1.0,0.0,0.8867154686187447,5664,0,5664,1.0,0.11328453138125524
application_category,catboost_native,raw,0.5,197261,197261,0,1.0,0.0,0.9992193084289342,0.9923443385912797,0.0007806915710657503,,154,154,0,0.0,
application_category,catboost_native,raw,0.7,197261,197206,55,0.9997211815817623,0.0002788184182377662,0.9993560033670376,0.9936600954004681,0.0006439966329624403,0.509090909090909,154,127,27,0.17532467532467533,0.4909090909090909
application_category,catboost_native,raw,0.8,197261,197141,120,0.9993916689056631,0.0006083310943369444,0.9995485464718146,0.9955325308198008,0.0004514535281854304,0.4583333333333333,154,89,65,0.42207792207792205,0.5416666666666666
application_category,catboost_native,raw,0.9,197261,195709,1552,0.9921322511799089,0.007867748820091149,0.9997342993934872,0.997375330851772,0.0002657006065127643,0.9342783505154639,154,52,102,0.6623376623376623,0.06572164948453608
application_category,catboost_native,raw,0.95,197261,192400,4861,0.9753575212535676,0.02464247874643239,0.9997505197505198,0.9653246882047833,0.0002494802494802384,0.9781937872865666,154,48,106,0.6883116883116883,0.02180621271343345
