comparison_scope,method,operating_point,metric,lightgbm_ordinal,catboost_native,native_minus_ordinal
model_summary,,,accuracy,0.9712867723472962,0.9992193084289342,0.027932536081638037
model_summary,,,balanced_accuracy,0.6719280186682383,0.9997249164925067,0.32779689782426846
model_summary,,,macro_f1,0.6725480129323816,0.9923443385912797,0.31979632565889804
model_summary,,,errors,5664.0,154.0,-5510.0
model_summary,,,mean_confidence,0.9983781852753517,0.996585409492351,-0.001792775783000744
model_summary,,,mean_entropy_bits,0.01111953454698889,0.022681801975163843,0.011562267428174953
model_summary,,,multiclass_brier,0.05614079759868718,0.0014968392085331292,-0.054643958390154054
model_summary,,,negative_log_likelihood,0.1900413942755693,0.005420591514028344,-0.18462080276154094
model_summary,,,ece_equal_width_15,0.027214795378624833,0.0029867162808285097,-0.024228079097796323
model_summary,,,adaptive_ece_equal_frequency_15,0.02765428305563855,0.002633898936583271,-0.02502038411905528
temperature_scaled_probability,scalar_temperature,,mean_confidence,0.9925277259216669,0.9993589370183592,0.006831211096692269
temperature_scaled_probability,scalar_temperature,,mean_entropy_bits,0.044197971478195416,0.004301919272056548,-0.03989605220613887
temperature_scaled_probability,scalar_temperature,,multiclass_brier,0.054280810066449844,0.00131150317904498,-0.052969306887404866
temperature_scaled_probability,scalar_temperature,,negative_log_likelihood,0.12645921736709972,0.003729479615508582,-0.12272973775159114
temperature_scaled_probability,scalar_temperature,,ece_equal_width_15,0.023516752480857564,0.0005569856430174256,-0.022959766837840137
temperature_scaled_probability,scalar_temperature,,adaptive_ece_equal_frequency_15,0.025383443972765218,0.00014433427732784938,-0.025239109695437367
conformal,probability_threshold,alpha=0.01,empirical_coverage,0.7217138714697786,0.8990677325979286,0.17735386112815
conformal,probability_threshold,alpha=0.01,average_set_size,0.7217138714697786,0.8990677325979286,0.17735386112815
conformal,probability_threshold,alpha=0.01,singleton_rate,0.7217138714697786,0.8990677325979286,0.17735386112815
conformal,probability_threshold,alpha=0.01,ambiguous_set_rate,0.0,0.0,0.0
conformal,probability_threshold,alpha=0.01,empty_rate,0.2782861285302214,0.10093226740207137,-0.17735386112815002
conformal,probability_threshold,alpha=0.05,empirical_coverage,0.30366367401564426,0.1285454296591825,-0.17511824435646176
conformal,probability_threshold,alpha=0.05,average_set_size,0.30366367401564426,0.1285454296591825,-0.17511824435646176
conformal,probability_threshold,alpha=0.05,singleton_rate,0.30366367401564426,0.1285454296591825,-0.17511824435646176
conformal,probability_threshold,alpha=0.05,ambiguous_set_rate,0.0,0.0,0.0
conformal,probability_threshold,alpha=0.05,empty_rate,0.6963363259843558,0.8714545703408175,0.17511824435646173
conformal,probability_threshold,alpha=0.10,empirical_coverage,0.2694298416818327,0.06401670882739112,-0.20541313285444157
conformal,probability_threshold,alpha=0.10,average_set_size,0.2694298416818327,0.06401670882739112,-0.20541313285444157
conformal,probability_threshold,alpha=0.10,singleton_rate,0.2694298416818327,0.06401670882739112,-0.20541313285444157
conformal,probability_threshold,alpha=0.10,ambiguous_set_rate,0.0,0.0,0.0
conformal,probability_threshold,alpha=0.10,empty_rate,0.7305701583181673,0.9359832911726089,0.20541313285444163
conformal,aps_deterministic,alpha=0.01,empirical_coverage,1.0,1.0,0.0
conformal,aps_deterministic,alpha=0.01,average_set_size,1.6989369414126463,1.9676672023359913,0.26873026092334507
conformal,aps_deterministic,alpha=0.01,singleton_rate,0.3010630585873538,0.032332797664008595,-0.26873026092334523
conformal,aps_deterministic,alpha=0.01,ambiguous_set_rate,0.6989369414126462,0.9676672023359913,0.2687302609233452
conformal,aps_deterministic,alpha=0.01,empty_rate,0.0,0.0,0.0
conformal,aps_deterministic,alpha=0.05,empirical_coverage,1.0,1.0,0.0
conformal,aps_deterministic,alpha=0.05,average_set_size,1.6953224408271275,1.9672312317183833,0.27190879089125586
conformal,aps_deterministic,alpha=0.05,singleton_rate,0.3046775591728725,0.03276876828161674,-0.27190879089125575
conformal,aps_deterministic,alpha=0.05,ambiguous_set_rate,0.6953224408271275,0.9672312317183832,0.27190879089125575
conformal,aps_deterministic,alpha=0.05,empty_rate,0.0,0.0,0.0
conformal,aps_deterministic,alpha=0.10,empirical_coverage,1.0,1.0,0.0
conformal,aps_deterministic,alpha=0.10,average_set_size,1.6917282179447535,1.9659537364202757,0.27422551847552223
conformal,aps_deterministic,alpha=0.10,singleton_rate,0.3082717820552466,0.034046263579724324,-0.27422551847552223
conformal,aps_deterministic,alpha=0.10,ambiguous_set_rate,0.6917282179447534,0.9659537364202757,0.27422551847552235
conformal,aps_deterministic,alpha=0.10,empty_rate,0.0,0.0,0.0
selective,confidence_threshold,threshold=0.999,queue_rows,47115.0,10384.0,-36731.0
selective,confidence_threshold,threshold=0.999,queue_rate,0.23884599591404282,0.05264091736329026,-0.18620507855075255
selective,confidence_threshold,threshold=0.999,captured_errors,5663.0,107.0,-5556.0
selective,confidence_threshold,threshold=0.999,error_capture_rate,0.9998234463276836,0.6948051948051948,-0.30501825152248885
selective,confidence_threshold,threshold=0.999,retained_errors,1.0,47.0,46.0
selective,confidence_threshold,threshold=0.999,selective_risk,6.6601840874591645e-06,0.00025150232505877224,0.00024484214097131307
