context,model,probability_state,method,alpha,class,support,empirical_coverage,average_set_size,singleton_rate,ambiguous_set_rate,empty_rate
application_category,catboost_native,raw,aps_deterministic,0.01,Allow,186610,1.0,1.9561759819945341,0.043824018005465946,0.956175981994534,0.0
application_category,catboost_native,raw,aps_deterministic,0.01,Deny,3337,1.0,1.9838178004195386,0.016182199580461493,0.9838178004195385,0.0
application_category,catboost_native,raw,aps_deterministic,0.01,Drop,7314,1.0,2.0,0.0,1.0,0.0
application_category,catboost_native,raw,probability_threshold,0.05,Allow,186610,0.1352607041423289,0.1352607041423289,0.1352607041423289,0.0,0.8647392958576711
application_category,catboost_native,raw,probability_threshold,0.05,Deny,3337,0.00029967036260113877,0.00029967036260113877,0.00029967036260113877,0.0,0.9997003296373989
application_category,catboost_native,raw,probability_threshold,0.05,Drop,7314,0.0,0.0,0.0,0.0,1.0
application_category,catboost_native,raw,aps_deterministic,0.05,Allow,186610,1.0,1.9457585338406302,0.05424146615936981,0.9457585338406302,0.0
application_category,catboost_native,raw,aps_deterministic,0.05,Deny,3337,1.0,1.9832184596943363,0.01678154030566377,0.9832184596943362,0.0
application_category,catboost_native,raw,aps_deterministic,0.05,Drop,7314,1.0,2.0,0.0,1.0,0.0
application_category,catboost_native,raw,probability_threshold,0.1,Allow,186610,0.066963185252666,0.066963185252666,0.066963185252666,0.0,0.933036814747334
application_category,catboost_native,raw,probability_threshold,0.1,Deny,3337,0.0,0.0,0.0,0.0,1.0
application_category,catboost_native,raw,probability_threshold,0.1,Drop,7314,0.0,0.0,0.0,0.0,1.0
application_category,catboost_native,raw,aps_deterministic,0.1,Allow,186610,1.0,1.9453727024275227,0.05462729757247736,0.9453727024275227,0.0
application_category,catboost_native,raw,aps_deterministic,0.1,Deny,3337,1.0,1.982918789331735,0.017081210668264908,0.982918789331735,0.0
application_category,catboost_native,raw,aps_deterministic,0.1,Drop,7314,1.0,2.0,0.0,1.0,0.0
application_category,catboost_native,temperature_scaled,probability_threshold,0.01,Allow,186610,0.9374470821499383,0.9374470821499383,0.9374470821499383,0.0,0.06255291785006163
application_category,catboost_native,temperature_scaled,probability_threshold,0.01,Deny,3337,0.026670662271501347,0.026670662271501347,0.026670662271501347,0.0,0.9733293377284986
application_category,catboost_native,temperature_scaled,probability_threshold,0.01,Drop,7314,0.31788351107465135,0.31788351107465135,0.31788351107465135,0.0,0.6821164889253486
application_category,catboost_native,temperature_scaled,aps_deterministic,0.01,Allow,186610,1.0,1.9659503777932588,0.034049622206741334,0.9659503777932587,0.0
application_category,catboost_native,temperature_scaled,aps_deterministic,0.01,Deny,3337,1.0,1.9928079112975727,0.00719208870242733,0.9928079112975726,0.0
application_category,catboost_native,temperature_scaled,aps_deterministic,0.01,Drop,7314,1.0,2.0,0.0,1.0,0.0
application_category,catboost_native,temperature_scaled,probability_threshold,0.05,Allow,186610,0.1358769626493757,0.1358769626493757,0.1358769626493757,0.0,0.8641230373506243
application_category,catboost_native,temperature_scaled,probability_threshold,0.05,Deny,3337,0.00029967036260113877,0.00029967036260113877,0.00029967036260113877,0.0,0.9997003296373989
application_category,catboost_native,temperature_scaled,probability_threshold,0.05,Drop,7314,0.0,0.0,0.0,0.0,1.0
application_category,catboost_native,temperature_scaled,aps_deterministic,0.05,Allow,186610,1.0,1.9655377525320186,0.03446224746798135,0.9655377525320187,0.0
application_category,catboost_native,temperature_scaled,aps_deterministic,0.05,Deny,3337,1.0,1.9901108780341623,0.009889121965837579,0.9901108780341624,0.0
application_category,catboost_native,temperature_scaled,aps_deterministic,0.05,Drop,7314,1.0,2.0,0.0,1.0,0.0
application_category,catboost_native,temperature_scaled,probability_threshold,0.1,Allow,186610,0.06767054284336316,0.06767054284336316,0.06767054284336316,0.0,0.9323294571566368
application_category,catboost_native,temperature_scaled,probability_threshold,0.1,Deny,3337,0.0,0.0,0.0,0.0,1.0
application_category,catboost_native,temperature_scaled,probability_threshold,0.1,Drop,7314,0.0,0.0,0.0,0.0,1.0
application_category,catboost_native,temperature_scaled,aps_deterministic,0.1,Allow,186610,1.0,1.9641980601253952,0.03580193987460479,0.9641980601253952,0.0
application_category,catboost_native,temperature_scaled,aps_deterministic,0.1,Deny,3337,1.0,1.9895115373089602,0.010488462691039856,0.9895115373089601,0.0
application_category,catboost_native,temperature_scaled,aps_deterministic,0.1,Drop,7314,1.0,2.0,0.0,1.0,0.0
