experiment,bin,lower,upper,rows,mean_confidence,empirical_accuracy
temporal_without_volume_duration,3,0.2,0.3,0,,
temporal_without_volume_duration,4,0.3,0.4,0,,
temporal_without_volume_duration,5,0.4,0.5,0,,
temporal_without_volume_duration,6,0.5,0.6,23,0.5355917903057233,0.13043478260869565
temporal_without_volume_duration,7,0.6,0.7,47,0.6400027274229481,0.9787234042553191
temporal_without_volume_duration,8,0.7,0.8,154,0.7370618594554638,0.974025974025974
temporal_without_volume_duration,9,0.8,0.9,60,0.8685500355261183,0.7666666666666667
temporal_without_volume_duration,10,0.9,1.0,209432,0.9999389803065017,0.9995750410634479
temporal_transport_volume_only,1,0.0,0.1,0,,
temporal_transport_volume_only,2,0.1,0.2,0,,
temporal_transport_volume_only,3,0.2,0.3,0,,
temporal_transport_volume_only,4,0.3,0.4,3,0.3670865172753354,1.0
temporal_transport_volume_only,5,0.4,0.5,15,0.4699725327615147,0.3333333333333333
temporal_transport_volume_only,6,0.5,0.6,454,0.585878709011595,0.3590308370044053
temporal_transport_volume_only,7,0.6,0.7,327,0.64839554133972,0.6574923547400612
temporal_transport_volume_only,8,0.7,0.8,401,0.7492502277911585,0.7456359102244389
temporal_transport_volume_only,9,0.8,0.9,484,0.8570805814418524,0.7768595041322314
temporal_transport_volume_only,10,0.9,1.0,208032,0.9988925033982119,0.9974571219812337
context_application_category_heldout,1,0.0,0.1,0,,
context_application_category_heldout,2,0.1,0.2,0,,
context_application_category_heldout,3,0.2,0.3,0,,
context_application_category_heldout,4,0.3,0.4,0,,
context_application_category_heldout,5,0.4,0.5,0,,
context_application_category_heldout,6,0.5,0.6,0,,
context_application_category_heldout,7,0.6,0.7,1,0.6494955329185991,1.0
context_application_category_heldout,8,0.7,0.8,620,0.7195552109552811,0.041935483870967745
context_application_category_heldout,9,0.8,0.9,1233,0.8129607452756974,1.0
context_application_category_heldout,10,0.9,1.0,195407,0.9991990720329231,0.974084858781927
context_destination_service_heldout,1,0.0,0.1,0,,
context_destination_service_heldout,2,0.1,0.2,0,,
context_destination_service_heldout,3,0.2,0.3,0,,
context_destination_service_heldout,4,0.3,0.4,0,,
context_destination_service_heldout,5,0.4,0.5,0,,
