context,model,seed,train_rows,calibration_rows_held_out,test_rows,accuracy,balanced_accuracy,macro_f1,errors,fit_seconds,predict_seconds,precision_Allow,recall_Allow,f1_Allow,support_Allow,precision_Deny,recall_Deny,f1_Deny,support_Deny,precision_Drop,recall_Drop,f1_Drop,support_Drop
application_category,lightgbm_ordinal,42,638486,212829,197261,0.9712867723472962,0.6719280186682383,0.6725480129323816,5664,14.67258679997758,1.286191699997289,0.9827080265488615,0.9870157011950056,0.9848571535512435,186610,0.038110361254466055,0.02876835480970932,0.03278688524590164,3337,1.0,1.0,1.0,7314
application_category,xgboost_ordinal,42,638486,212829,197261,0.9754690486208627,0.6819367165117889,0.6858007640939512,4839,20.442141600011382,0.9187738000182435,0.9832304510338741,0.990970473179358,0.9870852894000091,186610,0.09796573875802998,0.05483967635600839,0.07031700288184438,3337,1.0,1.0,1.0,7314
application_category,catboost_ordinal,42,638486,212829,197261,0.9830072847648547,0.6766464669796721,0.6828203140423814,3352,38.61275120000937,1.7284441000083461,0.9829492747512228,0.9993730239537002,0.991093113105772,186610,0.4657534246575342,0.03056637698531615,0.05736782902137233,3337,1.0,1.0,1.0,7314
application_category,catboost_native,42,638486,212829,197261,0.9992193084289342,0.9997249164925067,0.9923443385912797,154,353.624016900023,0.8926442000083625,1.0,0.9991747494775199,0.9995872044088714,186610,0.9558865654540246,1.0,0.9774458113649678,3337,1.0,1.0,1.0,7314
destination_service,lightgbm_ordinal,42,377076,125693,545807,0.9929517210295947,0.844665056886048,0.7991318648606418,3847,7.228051500016591,3.737529599980917,0.9976879973432987,0.9942462166832486,0.9959641335581193,477425,0.3195442160019817,0.5397489539748954,0.40143146102380584,2390,1.0,1.0,1.0,65992
destination_service,xgboost_ordinal,42,377076,125693,545807,0.9937615310906602,0.8340106827443159,0.8040271196521297,3405,10.847180099983234,2.2918193000077736,0.9975250746256125,0.9953374875634916,0.9964300804254128,477425,0.35234215885947046,0.5066945606694561,0.4156512785309765,2390,1.0,1.0,1.0,65992
destination_service,catboost_ordinal,42,377076,125693,545807,0.9930469928014848,0.8409545235149424,0.7985464808003888,3795,21.031595199980075,4.790144900005544,0.9976317758109119,0.9944116876996387,0.9960191291595905,477425,0.3212922920376495,0.5284518828451883,0.3996203132415757,2390,1.0,1.0,1.0,65992
destination_service,catboost_native,42,377076,125693,545807,0.9894523155620943,0.853045541776042,0.7716051925654389,5757,174.75207310001133,2.503097999986494,0.9978257565522831,0.9900989684243598,0.9939473460105788,477425,0.22342697552160343,0.5690376569037657,0.32086823168573786,2390,1.0,1.0,1.0,65992
rule,lightgbm_ordinal,42,284214,94739,669623,0.9958095824068169,0.966156287531344,0.9423276043412733,2806,6.374921499984339,4.076065700006438,0.9969812583551344,0.998125952073929,0.9975532768302466,573091,0.7710021321961621,0.9154430379746835,0.837037037037037,3950,1.0,0.9848998725454192,0.992392499156536,92582
rule,xgboost_ordinal,42,284214,94739,669623,0.9910128535011492,0.7070318787304322,0.7120885747542806,6018,8.183930800005328,2.854200999980094,0.9939823792076741,0.995526015938132,0.9947535987278915,573091,0.16209150326797386,0.12556962025316457,0.14151212553495007,3950,1.0,1.0,1.0,92582
rule,catboost_ordinal,42,284214,94739,669623,0.9942056948462045,0.9969310402210775,0.8895391704135432,3880,16.524986599979457,5.671616999985417,0.9999947310740178,0.9935123741255751,0.9967430131461128,573091,0.5073935965025074,0.9989873417721519,0.6729768909354481,3950,0.9995025413647669,0.9982934047655052,0.9988976071590688,92582
rule,catboost_native,42,284214,94739,669623,0.9934395921287053,0.9967743978804346,0.8794430034792305,4393,154.62215879998985,3.092848200001754,0.9999859331755504,0.9923485100970003,0.9961525829716983,573091,0.4733997838357151,0.9979746835443037,0.6421764274659933,3950,1.0,1.0,1.0,92582
