max_depth,actual_depth,leaves,accuracy,balanced_accuracy,macro_f1,errors,fit_seconds
4,4,13,0.9935055026798146,0.9943319501967887,0.9408798820315426,1362,2.9960313999908976
6,6,30,0.9992466001640313,0.9995540971078869,0.9905639757470462,158,3.7880179999920074
8,8,45,0.99967575196933,0.9997405274637203,0.9958746964395228,68,5.161309999995865
12,12,58,0.9997377405634287,0.9996488422476908,0.9966545358566367,55,3.917135999974562
